Collection ID	10825
Type	SpectraCollection
Description	48,VeVe,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20509	20526	20539	20590	20592	20648	20690	20715	20819	20826	20837
Time	48	48	48	48	48	48	48	48	48	48	48
Classification	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	20	21	19	24	22	23	44	46	47	45	43
Sample Description											
Weight											
Units of weight											
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11
9.730300	0.000860	0.000231	0.000610	-0.000062	-0.000491	0.001921	0.000389	0.001256	0.000344	0.000862	0.000843
9.729600	0.000305	-0.000040	0.000689	0.000328	-0.000039	0.001156	0.000593	0.001011	0.000360	0.000674	0.000840
9.728900	0.000180	0.000068	0.000006	0.000540	0.000451	0.001325	0.001025	0.001035	0.000442	0.000058	0.000938
9.728200	0.000896	0.000532	-0.000189	0.000194	0.000909	0.000862	0.000547	0.000722	0.000848	-0.000123	0.001165
9.727500	0.000973	-0.000070	0.000222	0.000510	0.000702	0.000949	0.001154	0.000747	0.000785	0.000072	0.000646
9.726800	-0.000027	0.000429	0.001522	0.000062	0.000132	0.000842	0.000558	0.000555	0.000425	-0.000220	0.000815
9.726100	-0.000565	0.000325	0.000652	0.000262	0.000863	-0.000142	0.000837	0.000172	-0.000110	0.000672	0.000635
9.725400	-0.000211	0.000546	0.000287	0.000902	0.000867	0.000496	0.001283	0.000484	0.001138	0.000451	0.000322
9.724700	0.000219	0.000185	0.000010	0.000911	0.000194	0.001151	0.000936	0.000567	0.001261	0.000962	0.000563
9.724000	0.000662	0.000176	0.000268	0.000751	0.000221	0.001010	-0.000088	0.000111	0.000763	0.000672	0.000662
9.723300	0.000694	0.000264	0.000717	0.000210	0.000293	0.001130	-0.000058	0.000687	0.000430	-0.000089	0.001069
9.722600	0.001038	-0.000133	-0.000298	0.000528	0.000669	0.000306	0.000237	0.000728	-0.000504	-0.000359	0.000622
9.721900	0.001241	0.000350	0.000144	0.000394	0.000777	0.000306	0.000624	0.000753	0.000683	-0.000107	0.001091
9.721200	0.000467	0.000366	-0.000298	0.000285	0.000497	-0.000204	0.000877	0.000413	0.000369	0.000258	0.001207
9.720500	0.000638	0.000233	0.000049	0.000408	0.000325	0.000531	0.000378	0.000376	-0.000327	0.000535	0.001280
